player_name,event_type,pass_outcome_name,location_0,location_1,pass_end_location_0,pass_end_location_1
Trent Alexander-Arnold,Pass,Incomplete,44.4,66.6,79.0,65.6
Trent Alexander-Arnold,Pass,Incomplete,84.3,80.0,113.3,70.6
Trent Alexander-Arnold,Pass,Out,3.0,67.2,27.8,80.4
Trent Alexander-Arnold,Pass,Complete,10.8,67.0,3.0,52.9
Trent Alexander-Arnold,Pass,Incomplete,24.0,80.0,43.1,71.0
Trent Alexander-Arnold,Pass,Incomplete,120.0,1.0,116.9,42.8
Trent Alexander-Arnold,Pass,Incomplete,65.2,68.7,85.6,71.6
Trent Alexander-Arnold,Pass,Complete,56.8,78.8,65.8,77.7
Trent Alexander-Arnold,Pass,Incomplete,27.2,16.5,51.5,25.6
Trent Alexander-Arnold,Pass,Incomplete,120.0,1.0,117.0,43.8
Trent Alexander-Arnold,Pass,Complete,92.7,80.0,116.7,68.0
Trent Alexander-Arnold,Pass,Complete,113.7,80.0,116.9,68.9
Trent Alexander-Arnold,Pass,Complete,120.0,1.0,116.9,24.7
Trent Alexander-Arnold,Pass,Incomplete,50.7,44.3,84.5,22.6
Trent Alexander-Arnold,Pass,Out,50.1,64.5,120.5,67.4
Trent Alexander-Arnold,Pass,Complete,50.3,79.8,79.3,41.1
Trent Alexander-Arnold,Pass,Complete,78.7,39.0,83.7,43.0
Trent Alexander-Arnold,Pass,Out,82.4,40.1,120.7,27.9
Trent Alexander-Arnold,Pass,Incomplete,65.0,71.6,67.3,70.8
Trent Alexander-Arnold,Pass,Complete,71.7,78.8,84.1,76.2
Trent Alexander-Arnold,Pass,Complete,37.5,80.0,41.9,71.2
Trent Alexander-Arnold,Pass,Incomplete,31.2,78.3,51.8,50.2
Trent Alexander-Arnold,Pass,Incomplete,71.1,79.2,77.8,73.9
Trent Alexander-Arnold,Pass,Incomplete,120.0,80.0,116.5,46.0
Trent Alexander-Arnold,Pass,Incomplete,112.5,71.2,114.4,67.6
Trent Alexander-Arnold,Pass,Incomplete,120.0,80.0,114.0,43.4
Trent Alexander-Arnold,Pass,Complete,59.1,67.4,50.9,51.4
Trent Alexander-Arnold,Pass,Incomplete,85.0,76.9,99.9,42.0
Trent Alexander-Arnold,Pass,Incomplete,28.6,64.7,111.4,60.7
Trent Alexander-Arnold,Pass,Out,2.8,77.1,44.4,80.6
Trent Alexander-Arnold,Pass,Incomplete,70.6,80.0,114.8,58.1
Trent Alexander-Arnold,Pass,Complete,83.1,80.0,99.6,72.9
Trent Alexander-Arnold,Pass,Complete,41.2,77.9,58.1,58.8
Trent Alexander-Arnold,Pass,Incomplete,50.9,72.8,104.7,76.9
Trent Alexander-Arnold,Pass,Complete,85.6,75.8,115.8,2.4
Trent Alexander-Arnold,Pass,Complete,70.6,80.0,84.6,66.8
Trent Alexander-Arnold,Pass,Complete,93.8,80.0,108.8,55.0
Trent Alexander-Arnold,Pass,Incomplete,95.5,58.2,108.7,48.0
Trent Alexander-Arnold,Pass,Incomplete,120.0,80.0,115.3,49.2
Trent Alexander-Arnold,Pass,Incomplete,105.1,80.0,112.3,56.7
Trent Alexander-Arnold,Pass,Complete,109.5,80.0,107.3,69.7
Trent Alexander-Arnold,Pass,Out,104.6,77.5,119.6,64.7
Trent Alexander-Arnold,Pass,Incomplete,63.2,77.9,65.6,77.5
Trent Alexander-Arnold,Pass,Incomplete,69.7,80.0,101.0,74.6
Trent Alexander-Arnold,Pass,Complete,54.4,55.0,58.6,34.7
Trent Alexander-Arnold,Pass,Incomplete,44.3,53.3,48.2,49.9
Trent Alexander-Arnold,Pass,Out,56.4,59.3,96.9,79.8
